gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Otogl,1.99,1.99,0,1,1,1,1,0,1,0,0,0
Tmem168,779.67,824.47,734.95,804.95,834.56,901.91,835.85,801.86,849.91,806.91,719.96,811.98
Gzma,0,0,0,1,0,0,0,0,0,0,0,0
Midn,8643.42,8603.89,9637.44,9228.39,9749.06,9172.66,9496.79,9221.87,9010.91,9176.22,9716.18,9596.94
Cct7,8801.22,8579.54,9670.18,8863.01,8847.57,8360.35,8409.64,8250.67,8066.75,8575.93,8890.66,9288.87
Rpl30,5910.45,5808.51,6475.96,5968.67,5141.38,5393.77,5944.54,6028.85,5992.37,5640.09,5597.26,5510.68
Soat1,1201.98,1240.15,1096.33,1205.92,1251.62,1337.8,1249.55,1260.67,1253.89,1063.33,1071.11,1066.66
Ppm1l,2055.8,2186.98,1954.47,2170.18,2286.49,2224.81,2247.23,2224.86,2203.54,2196.81,2099.22,2133.57
Trip11,1252.43,1309.36,1201.51,1411.91,1280.37,1412.02,1290.96,1322.52,1303.22,1318.79,1303.77,1238.18
Zfp202,284.08,345.28,339.08,318.26,328.85,298.96,318.39,318.94,299.58,338.86,333.34,330.03
Spata18,0,0,0,0,2,0,0,0,0,0,1,1
Siglec1,37.1,37.36,41.07,35.87,19,21.09,29.94,40.72,32.99,18.04,11.09,11.98
Vamp5,10.23,8.86,6.18,3.6,5.58,6.65,5.59,4.87,12.18,2.01,8.57,5.63
Gm13420,6.04,8.22,9.22,3,8.35,2.01,7.37,11.04,10.99,5.83,7.43,3.98
Gpt2,4245.46,4433.5,4443.75,4429.08,4488.69,4290.61,5362.66,5410.72,5300.36,4826.64,4815.54,4840.87
Reep3,5172.27,5286.18,4351.01,4815.92,5017.63,4941.8,5590.94,5493.36,5650.96,4772.44,4328.16,4442.96
Aldh3a2,795.62,801.28,794.07,850.92,804.8,786.82,852.67,889.66,915.37,818.59,847.97,872.91
Ikbke,6,10.24,15,12,10.27,14,16,15,16.94,13,14,11
Trpv1,0,1,0,0,0,0,0,0,0,1,0,3
Hspa1b,62.1,57.71,67.12,70.71,56.06,56.37,72.45,64.33,73.63,77.38,68.83,52.49
Gm15921,35.41,19.3,50.82,33.58,32.05,48.21,35.62,18.2,53.42,27.47,18.35,41.23
4933425L06Rik,1,1.96,1.95,1,1,1,2,7,3,3,2,0
LOC115488130,159.16,187.02,163.82,149.04,144.95,164.2,189.03,209.87,228.4,186.06,164.64,170.6
Helz,1861.65,1994.35,1875.57,1899.38,1842.62,1976.41,2100.47,2068.89,2040.98,1784,1745.83,1691.47
Gm21885,4,3.99,3.06,5.98,6,7.99,8,11,9,2,5,5
Rora,341.04,378.22,324.03,510.06,476.85,502.85,380.38,386.42,374.15,456.21,441.59,437.42
Csgalnact1,181.72,170.55,164.89,200.02,210.5,207.58,241.24,246.45,234.1,184.81,187.6,178.57
Rptor,1560.85,1456.9,1639.62,1416.89,1498.84,1482.79,1512.77,1476.58,1489.17,1492.99,1561.75,1489.84
9930021J03Rik,1208.32,1237.32,1150.57,1229.18,1362.51,1324.09,1205.9,1222.22,1285.75,1231.59,1144.79,1217.95
Rnf5,1941.53,1888.81,2056.96,1778.98,1811.86,1872.79,1985.07,2050.01,1897.1,2015.49,1993.88,1991.39
H2bc7,0,0,1.58,0,0,0,2.27,1.06,1.48,0,0,0
2610524H06Rik,457.78,475.21,435.59,503.89,482.73,434.87,442.57,458.44,435.51,495.55,474.28,419.33
Hpse,22.99,25.86,23,28.94,26,15.99,20,33,23.8,16,10,14
Lrrc8a,1019.8,1087.76,1121.33,1029.93,1084.79,1049.78,1076.33,1041.32,1040.65,1054.94,1133.18,1092.67
Dhx37,804.08,807.7,901.31,894.76,905.27,768.29,724.54,783.76,733.85,860.95,885.07,863.13
Zfp30,263.36,281.85,243,226.28,224.55,240.93,308.74,326.75,285.63,233.11,235.88,258.74
